name,url,tags
Pathfinder: Wrath of the Righteous - Enhanced Edition,https://store.steampowered.com/app/1184370/Pathfinder_Wrath_of_the_Righteous__Enhanced_Edition,"Class-Based,Difficult,Choose Your Own Adventure,Violent,RPG,Character Customization,Choices Matter,CRPG,Open World,Story Rich,Fantasy,Romance,Dark Fantasy,Narration,Turn-Based Combat,Medieval,Isometric,Dungeons & Dragons,Turn-Based Strategy,Singleplayer"
Super Bunny Man,https://store.steampowered.com/app/673750/Super_Bunny_Man,"Funny,Multiplayer,Physics,Comedy,Co-op,Puzzle Platformer,Casual,Online Co-Op,Party,Colorful,Action,Local Co-Op,Puzzle,Cartoon,Local Multiplayer,Adventure,Singleplayer,Memes,4 Player Local,Sandbox"
A Plague Tale: Requiem,https://store.steampowered.com/app/1182900/A_Plague_Tale_Requiem,"Adventure,Action,Action-Adventure,Exploration,Interactive Fiction,Cinematic,3D,Third Person,Realistic,Atmospheric,Alternate History,Dark,Female Protagonist,Emotional,Drama,Medieval,Historical,Singleplayer,Mystery,Narration"
Cult of the Lamb,https://store.steampowered.com/app/1313140/Cult_of_the_Lamb,"Base Building,Action Roguelike,Character Customization,Cute,Roguelite,Singleplayer,Dungeon Crawler,Dark Humor,Colony Sim,Building,Action,2D,Funny,Adventure,Faith,Fantasy,Controller,Strategy,Colorful,Third Person"
DARK SOULS™ II: Scholar of the First Sin,https://store.steampowered.com/app/335300/DARK_SOULS_II_Scholar_of_the_First_Sin,"Souls-like,Dark Fantasy,RPG,Difficult,Action,Third Person,Atmospheric,Action RPG,Character Customization,Co-op,Multiplayer,Adventure,Fantasy,Medieval,Dark,Singleplayer,Lore-Rich,Story Rich,PvP,Remake"
ULTRAKILL,https://store.steampowered.com/app/1229490/ULTRAKILL,"Early Access,FPS,Arena Shooter,Spectacle fighter,Character Action Game,Blood,Retro,Fast-Paced,Singleplayer,Shooter,First-Person,Difficult,Action,Old School,Robots,3D,Silent Protagonist,Stylized,Sci-fi,Cyberpunk"
Wartales,https://store.steampowered.com/app/1527950/Wartales,"RPG,Open World,Turn-Based Strategy,Party-Based RPG,Medieval,Co-op,Adventure,Strategy,Singleplayer,Multiplayer,Turn-Based Combat,Exploration,Tactical RPG,Survival,Sandbox,Story Rich,Turn-Based,Indie,Online Co-Op,Violent"
Hades,https://store.steampowered.com/app/1145360/Hades,"Action Roguelike,Hack and Slash,Roguelite,Indie,Action,Mythology,Roguelike,RPG,Great Soundtrack,Singleplayer,Story Rich,Dungeon Crawler,Replay Value,Isometric,Difficult,Action RPG,Hand-drawn,Atmospheric,Perma Death,Souls-like"
Jagged Alliance 3,https://store.steampowered.com/app/1084160/Jagged_Alliance_3,"Strategy,Tactical,Turn-Based Tactics,RPG,Turn-Based Strategy,Strategy RPG,Tactical RPG,Turn-Based Combat,Singleplayer,Action,Co-op Campaign,Loot,3D,Isometric"
"Warhammer 40,000: Darktide",https://store.steampowered.com/app/1361210/Warhammer_40000_Darktide,"Warhammer 40K,Gore,Adventure,Online Co-Op,Multiplayer,PvE,FPS,Survival Horror,Shooter,Hack and Slash,Character Customization,First-Person,Co-op,Action,Violent,Atmospheric,Sci-fi,Dark Fantasy,Looter Shooter,Horror"
DCS World Steam Edition,https://store.steampowered.com/app/223750/DCS_World_Steam_Edition,"Simulation,Flight,Free to Play,Military,Multiplayer,Realistic,War,Open World,VR,Singleplayer,Shooter,Action,Co-op,TrackIR,Sandbox,First-Person,Tanks,Strategy,Massively Multiplayer,FPS"
CODE VEIN,https://store.steampowered.com/app/678960/CODE_VEIN,"Souls-like,Anime,Character Customization,Action RPG,JRPG,Co-op,Third Person,Action,Singleplayer,Difficult,RPG,Vampire,Multiplayer,Dark Fantasy,Post-apocalyptic,Online Co-Op,Hack and Slash,Violent,Adventure,Gore"
Counter-Strike: Source,https://store.steampowered.com/app/240/CounterStrike_Source,"Shooter,Action,FPS,Multiplayer,Team-Based,First-Person,Tactical,Competitive,PvP,eSports,Military,War,Strategy,Moddable,Singleplayer,Difficult,Atmospheric,Survival,Simulation,Sandbox"
X4: Foundations,https://store.steampowered.com/app/392160/X4_Foundations,"Sandbox,Space Sim,Economy,Trading,Building,Exploration,Space,Grand Strategy,Management,First-Person,Strategy,Simulation,Sci-fi,Singleplayer,Open World,Action,Flight,Atmospheric,Crafting,Survival"
Control Ultimate Edition,https://store.steampowered.com/app/870780/Control_Ultimate_Edition,"Action,Adventure,Female Protagonist,Supernatural,Story Rich,Third Person,Horror,Sci-fi,Atmospheric,Third-Person Shooter,Singleplayer,Surreal,Psychological Horror,Shooter,Metroidvania,Open World,Epic,Violent,Difficult,Great Soundtrack"
Propnight,https://store.steampowered.com/app/1549180/Propnight,"Multiplayer,Horror,Action,Survival Horror,Online Co-Op,PvP,3D,First-Person,Co-op,Third Person,Stylized,Combat,Asynchronous Multiplayer,Funny,Survival,Casual,Adventure,Controller,Sexual Content,Indie"
